,carat,cut,color,clarity,depth,table,x,y,z,price,carat_bin
0,0.3,Ideal,E,SI1,62.1,58.0,4.27,4.29,2.66,499,Small
1,0.33,Premium,G,IF,60.8,58.0,4.42,4.46,2.7,984,Small
2,0.9,Very Good,E,VVS2,62.2,60.0,6.04,6.12,3.78,6289,Large
3,0.42,Ideal,F,VS1,61.6,56.0,4.82,4.8,2.96,1082,Medium
4,0.31,Ideal,F,VVS1,60.4,59.0,4.35,4.43,2.65,779,Small
5,1.02,Ideal,D,VS2,61.5,56.0,6.46,6.49,3.99,9502,Large
6,1.01,Good,H,SI1,63.7,60.0,6.35,6.3,4.03,4836,Large
7,0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,1415,Medium
8,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,5407,Extra Large
9,0.35,Ideal,F,VS2,60.5,57.0,4.52,4.6,2.76,706,Small
10,0.32,Ideal,E,VS2,61.6,56.0,4.4,4.43,2.72,637,Small
11,1.1,Premium,D,SI1,60.7,55.0,6.74,6.71,4.08,6468,Extra Large
12,0.5,Good,E,VS1,61.1,58.2,5.08,5.12,3.11,1932,Medium
13,0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,2767,Large
14,1.5,Fair,G,VS2,66.2,53.0,7.12,7.08,4.7,10644,Extra Large
15,0.31,Ideal,G,VS2,61.6,55.0,4.37,4.39,2.7,544,Small
16,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,650,Small
17,1.01,Ideal,D,VS2,59.8,56.0,6.52,6.49,3.89,7127,Large
18,0.9,Good,D,SI1,61.9,64.0,6.0,6.09,3.74,3567,Large
19,0.54,Premium,G,VS2,60.0,59.0,5.42,5.22,3.19,1637,Medium
20,1.04,Premium,D,VVS2,61.1,60.0,6.54,6.51,3.99,10984,Large
21,0.4,Ideal,F,VS2,62.9,57.0,4.72,4.69,2.96,1080,Small
22,1.52,Ideal,D,SI2,62.7,56.0,7.35,7.28,4.59,8631,Extra Large
23,1.19,Ideal,J,SI2,61.7,56.0,6.8,6.85,4.21,4508,Extra Large
24,0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,1609,Medium
25,1.5,Premium,H,SI2,61.4,62.0,7.4,7.25,4.49,7187,Extra Large
26,0.34,Ideal,D,SI1,61.69936775553214,57.0,4.5,4.44,2.74,803,Small
27,0.52,Ideal,E,VS2,61.5,56.0,5.18,5.2,3.19,1576,Medium
28,0.31,Ideal,H,SI1,61.9,56.0,4.38,4.35,2.7,595,Small
29,0.71,Good,F,SI2,64.0,58.0,5.65,5.59,3.6,1818,Large
30,1.19,Ideal,G,SI1,62.3,55.0,6.76,6.81,4.23,6335,Extra Large
31,0.72,Very Good,J,VVS2,63.0,59.0,5.7,5.72,3.6,2144,Large
32,0.3,Ideal,H,SI1,62.4,55.0,4.3,4.32,2.69,450,Small
33,0.77,Premium,E,VS1,60.8,56.0,5.95,5.9,3.6,3260,Large
34,0.35,Very Good,D,VS1,59.9,56.0,4.61,4.64,2.77,846,Small
35,1.21,Premium,J,VVS2,61.7,60.0,6.82,6.85,4.22,5431,Extra Large
36,1.01,Very Good,G,SI1,62.8,56.0,6.35,6.43,4.01,5049,Large
37,0.51,Premium,I,SI1,61.3,58.0,5.16,5.11,3.15,1084,Medium
38,1.26,Ideal,J,SI1,62.0,56.0,6.9,6.93,4.29,5301,Extra Large
39,1.55,Good,H,VS2,61.0,61.0,7.42,7.47,4.54,11364,Extra Large
40,0.9,Good,G,SI2,63.8,59.0,6.05,6.02,3.85,3246,Large
41,1.58,Premium,F,SI2,62.3,60.0,7.42,7.38,4.61,9290,Extra Large
42,0.43,Premium,F,SI1,60.5,60.0,4.88,4.84,2.94,1016,Medium
43,0.3,Ideal,G,VVS1,61.7,54.0,4.32,4.34,2.67,764,Small
44,2.0,Good,I,SI1,63.9,57.0,8.01,7.91,5.09,12554,Extra Large
45,1.01,Premium,F,I1,62.6,57.0,6.42,6.3,3.99,2257,Large
46,0.43,Premium,F,VS1,62.5,58.0,4.85,4.78,3.01,1129,Medium
47,0.52,Ideal,G,VVS2,61.7,55.0,5.21,5.23,3.22,2338,Medium
48,0.73,Very Good,E,SI2,62.1,58.0,5.75,5.81,3.59,2395,Large
49,0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822,Medium
50,0.5,Premium,F,SI2,58.0,62.0,5.21,5.18,3.01,1031,Medium
51,1.14,Premium,G,VS2,61.4,60.0,6.71,6.68,4.11,7079,Extra Large
52,0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,2777,Large
53,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,943,Medium
54,0.91,Very Good,G,SI2,62.9,54.0,6.14,6.22,3.89,3615,Large
55,1.02,Very Good,F,VS1,62.4,58.0,6.42,6.47,4.02,7587,Large
56,0.52,Good,E,SI1,63.7,54.0,5.12,5.15,3.27,1388,Medium
57,1.21,Ideal,I,VVS1,61.6,55.0,6.88,6.8,4.21,7086,Extra Large
58,0.5,Good,E,VS2,64.9,59.0,4.89,4.94,3.19,1389,Medium
59,1.01,Premium,G,VVS2,61.7,59.0,6.44,6.37,3.95,7466,Large
60,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203,Medium
61,0.27,Premium,E,VS1,61.5,58.0,4.22,4.17,2.58,603,Small
62,1.8,Very Good,E,SI1,62.2,57.0,7.81,7.89,4.88,17273,Extra Large
63,0.3,Ideal,F,VS1,61.9,55.0,4.28,4.3,2.66,673,Small
64,1.13,Premium,H,SI1,60.9,59.0,6.79,6.7,4.11,5050,Extra Large
65,0.38,Premium,I,VS2,61.7,59.0,4.64,4.6,2.85,812,Small
66,0.54,Premium,F,SI1,59.7,59.0,5.36,5.3,3.18,1369,Medium
67,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405,Small
68,0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359,Medium
69,0.32,Premium,J,SI1,62.2,59.0,4.37,4.41,2.73,365,Small
70,0.57,Ideal,F,VVS1,61.1,55.0,5.36,5.44,3.3,3057,Medium
71,0.44,Ideal,I,VVS2,60.8,56.0,4.9,4.93,2.99,912,Medium
72,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,1629,Medium
73,0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,2854,Medium
74,0.57,Very Good,G,SI2,59.4,58.0,5.39,5.42,3.21,1214,Medium
75,1.22,Ideal,G,VS2,62.0,57.0,6.88,6.83,4.25,8062,Extra Large
76,0.59,Ideal,E,SI1,62.0,55.0,5.37,5.4,3.34,1664,Medium
77,0.51,Ideal,G,VS2,62.0,56.0,5.11,5.18,3.19,1343,Medium
78,1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,5154,Extra Large
79,2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14,11473,Extra Large
80,0.31,Very Good,G,VS1,60.5,57.0,4.39,4.42,2.67,640,Small
81,0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905,Small
82,1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800,Extra Large
83,0.9,Very Good,D,SI2,63.5,58.0,6.08,6.17,3.89,3918,Large
84,0.43,Very Good,E,VS2,62.2,58.0,4.81,4.87,3.01,869,Medium
85,0.76,Ideal,H,VS2,61.9,55.0,5.85,5.88,3.64,3016,Large
86,0.74,Ideal,E,SI2,60.62173366834171,59.0,5.92,5.97,3.52,2501,Large
87,1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306,Extra Large
88,0.41,Very Good,I,VVS2,63.1,56.0,4.75,4.72,2.99,1061,Medium
89,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,665,Small
