,carat,cut,color,clarity,depth,table,price
0,0.3,5,6,5,62.1,58.0,499
1,0.33,4,4,10,60.8,58.0,984
2,0.9,3,6,8,62.2,60.0,6289
3,0.42,5,5,7,61.6,56.0,1082
4,0.31,5,5,9,60.4,59.0,779
5,1.02,5,7,6,61.5,56.0,9502
6,1.01,2,3,5,63.7,60.0,4836
7,0.5,4,6,5,61.5,62.0,1415
8,1.21,2,3,5,63.8,64.0,5407
9,0.35,5,5,6,60.5,57.0,706
10,0.32,5,6,6,61.6,56.0,637
11,1.1,4,7,5,60.7,55.0,6468
12,0.5,2,6,7,61.1,58.2,1932
13,0.71,5,7,4,61.6,55.0,2767
14,1.5,1,4,6,66.2,53.0,10644
15,0.31,5,4,6,61.6,55.0,544
16,0.34,5,4,5,61.2,57.0,650
17,1.01,5,7,6,59.8,56.0,7127
18,0.9,2,7,5,61.9,64.0,3567
19,0.54,4,4,6,60.0,59.0,1637
20,1.04,4,7,8,61.1,60.0,10984
21,0.4,5,5,6,62.9,57.0,1080
22,1.52,5,7,4,62.7,56.0,8631
23,1.19,5,1,4,61.7,56.0,4508
24,0.66,5,3,5,62.4,58.0,1609
25,1.5,4,3,4,61.4,62.0,7187
26,0.34,5,7,5,61.69936775553214,57.0,803
27,0.52,5,6,6,61.5,56.0,1576
28,0.31,5,3,5,61.9,56.0,595
29,0.71,2,5,4,64.0,58.0,1818
30,1.19,5,4,5,62.3,55.0,6335
31,0.72,3,1,8,63.0,59.0,2144
32,0.3,5,3,5,62.4,55.0,450
33,0.77,4,6,7,60.8,56.0,3260
34,0.35,3,7,7,59.9,56.0,846
35,1.21,4,1,8,61.7,60.0,5431
36,1.01,3,4,5,62.8,56.0,5049
37,0.51,4,2,5,61.3,58.0,1084
38,1.26,5,1,5,62.0,56.0,5301
39,1.55,2,3,6,61.0,61.0,11364
40,0.9,2,4,4,63.8,59.0,3246
41,1.58,4,5,4,62.3,60.0,9290
42,0.43,4,5,5,60.5,60.0,1016
43,0.3,5,4,9,61.7,54.0,764
44,2.0,2,2,5,63.9,57.0,12554
45,1.01,4,5,3,62.6,57.0,2257
46,0.43,4,5,7,62.5,58.0,1129
47,0.52,5,4,8,61.7,55.0,2338
48,0.73,3,6,4,62.1,58.0,2395
49,0.52,5,7,6,61.8,55.0,1822
50,0.5,4,5,4,58.0,62.0,1031
51,1.14,4,4,6,61.4,60.0,7079
52,0.78,4,5,5,62.4,58.0,2777
53,0.43,5,4,7,62.3,56.0,943
54,0.91,3,4,4,62.9,54.0,3615
55,1.02,3,5,7,62.4,58.0,7587
56,0.52,2,6,5,63.7,54.0,1388
57,1.21,5,2,9,61.6,55.0,7086
58,0.5,2,6,6,64.9,59.0,1389
59,1.01,4,4,8,61.7,59.0,7466
60,0.51,5,5,8,62.6,57.0,2203
61,0.27,4,6,7,61.5,58.0,603
62,1.8,3,6,5,62.2,57.0,17273
63,0.3,5,5,7,61.9,55.0,673
64,1.13,4,3,5,60.9,59.0,5050
65,0.38,4,2,6,61.7,59.0,812
66,0.54,4,5,5,59.7,59.0,1369
67,0.3,2,2,5,63.2,55.0,405
68,0.51,5,7,4,59.8,55.0,1359
69,0.32,4,1,5,62.2,59.0,365
70,0.57,5,5,9,61.1,55.0,3057
71,0.44,5,2,8,60.8,56.0,912
72,0.52,5,5,6,62.5,56.0,1629
73,0.7,4,6,7,58.4,59.0,2854
74,0.57,3,4,4,59.4,58.0,1214
75,1.22,5,4,6,62.0,57.0,8062
76,0.59,5,6,5,62.0,55.0,1664
77,0.51,5,4,6,62.0,56.0,1343
78,1.2,4,4,5,62.2,58.0,5154
79,2.16,4,3,4,62.3,57.0,11473
80,0.31,3,4,7,60.5,57.0,640
81,0.4,5,3,8,61.4,55.7,905
82,1.68,5,2,6,62.1,57.0,10800
83,0.9,3,7,4,63.5,58.0,3918
84,0.43,3,6,6,62.2,58.0,869
85,0.76,5,3,6,61.9,55.0,3016
86,0.74,5,6,4,60.62173366834171,59.0,2501
87,1.26,5,1,6,63.2,57.0,5306
88,0.41,3,2,8,63.1,56.0,1061
89,0.3,5,3,9,61.8,55.0,665
90,0.5,5,5,8,62.3,57.0,1850
91,0.54,5,6,5,62.1,56.0,1637
92,0.4,3,7,8,59.4,61.0,977
93,1.51,3,3,5,61.7,61.0,9218
94,0.5,3,6,8,60.9,59.0,2003
95,0.33,5,6,7,60.9,57.0,850
96,0.9,5,4,9,61.6,57.0,5564
97,0.72,3,2,5,63.2,57.0,2345
98,0.51,5,4,6,61.8,55.0,1557
99,0.5,2,4,5,63.9,57.0,1197
100,1.02,1,1,5,66.8,55.0,3027
101,0.7,1,6,5,65.2,58.0,2318
102,1.69,5,5,6,62.2,57.0,16789
103,1.3,4,4,9,60.5,60.0,11061
104,0.31,5,7,7,61.1,55.0,774
105,1.22,5,4,7,60.7,57.0,9002
106,1.0,4,5,8,60.6,54.0,8924
107,0.28,3,4,5,62.0,55.0,382
108,1.01,2,6,5,64.3,59.0,4766
109,0.41,3,3,8,62.0,56.0,873
110,0.55,3,6,5,59.7,60.0,1559
111,1.39,4,4,6,62.0,56.0,8874
112,0.36,3,3,4,61.2,55.0,475
